dispm,velm,accm,displ,vell,accl,act,wspd,next_wspd
0.0001120097458079134,0.00020071771548573608,0.001233409820645103,-8.898917311046486e-05,2.594362459167171e-05,5.168269639141741e-06,60.0,2.156,3.2560000000000002
0.00011099268220988755,0.00019702940116304122,0.0012774694794764276,-9.188450324253429e-05,2.614283429023482e-05,9.454730000993053e-06,80.0,2.156,3.2560000000000002
0.00012021599836939635,0.0002095711297274217,0.0013191689733720098,-9.368874041560123e-05,2.388953989045572e-05,1.5379663143713593e-05,100.0,2.156,3.2560000000000002
0.00012921258325977996,0.0002246692134282333,0.0013456643329508413,-9.374132949177704e-05,1.94073904248025e-05,2.185365880409693e-05,120.0,2.156,3.2560000000000002
0.00013706789140611577,0.00023957964400398403,0.001347384099912937,-9.274919617420842e-05,1.4958580847433765e-05,2.5465846859161702e-05,140.0,2.156,3.2560000000000002
0.00014376551495497402,0.0002528662835821831,0.0013340356944670556,-9.416700449760591e-05,1.5215371400152341e-05,2.171457022770412e-05,160.0,2.156,3.2560000000000002
0.00015020169337521307,0.00026643342232935275,0.0013544253057951512,-9.617026858714296e-05,1.604540764444298e-05,1.823775089245869e-05,180.0,2.156,3.2560000000000002
0.0001561781311900959,0.00027923917845123786,0.0013831323824049205,-9.890463671752683e-05,1.7432311671319265e-05,1.4934342437629215e-05,200.0,2.156,3.2560000000000002
0.00017272687714913983,0.00045621641836744546,0.0014485203402270408,7.78397848030842e-05,-1.516022109038024e-05,-8.830159090730568e-06,0.0,3.3,2.156
0.00015600215942358382,0.0002590789787738273,0.00111903697127689,8.943627276956487e-05,-3.856218537613671e-05,-0.00012121671267346785,20.0,3.3,2.156
0.00014649905828237808,0.00021928977584811233,0.0012811125635993157,9.022264467277884e-05,-2.741914535805192e-05,-0.00011246805219096664,40.0,3.3,2.156
