,state,state_p,act,r_disp,s,s_p
13702,"(5.3e-05, 1.936)","(5.3e-05, 2.332)",30.0,1.195084,17854,17918
13703,"(5.3e-05, 1.936)","(5.3e-05, 2.332)",40.0,1.243158,17854,17918
13704,"(5.2e-05, 1.936)","(5.2e-05, 2.332)",50.0,1.249336,7707,7771
13705,"(4.9e-05, 1.936)","(4.9e-05, 2.332)",60.0,1.233158,4510,4574
13706,"(4.5e-05, 1.936)","(4.5e-05, 2.332)",70.0,1.206379,18827,18891
13707,"(4e-05, 1.936)","(4e-05, 2.332)",80.0,1.180339,23414,23478
13708,"(3.5e-05, 1.936)","(3.5e-05, 2.332)",90.0,1.145083,27862,27926
13709,"(2.9e-05, 1.936)","(2.9e-05, 2.332)",100.0,1.120732,21051,21115
13710,"(2.4e-05, 1.936)","(2.4e-05, 2.332)",110.0,1.087857,25638,25702
13711,"(1.7e-05, 1.936)","(1.7e-05, 2.332)",120.0,1.065,8541,8605
13712,"(1.2e-05, 1.936)","(1.2e-05, 2.332)",130.0,1.034237,12572,12636
13713,"(7e-06, 1.936)","(7e-06, 2.332)",140.0,1.012707,16603,16667
13714,"(3e-06, 1.936)","(3e-06, 2.332)",150.0,0.991667,3259,3323
13715,"(0.0, 1.936)","(0.0, 2.332)",160.0,0.963478,62,126
