s,a,r,sp
1192,12,-1.598153,1493
1192,13,-1.611185,1453
1192,14,-1.608153,1393
1192,15,-1.597088,1313
1192,16,-1.582008,1233
1192,17,-1.57496,1133
1192,18,-1.55988,1133
1192,19,-1.540783,1113
1192,20,-1.537751,1113
1133,1,1.143026,1274
1133,2,1.254493,1274
1133,3,1.226993,1274
1133,4,1.151141,1274
1133,5,1.086465,1274
1133,6,1.027576,1294
1133,7,0.967874,1294
1133,8,-1.085845,1274
1133,9,-1.128095,1274
1133,10,-1.158883,1254
1133,11,-1.175344,1234
1133,12,-1.180344,1214
1133,13,-1.173883,1174
1133,14,-1.161691,1114
1133,15,-1.152364,1054
1133,16,-1.143037,994
1133,17,-1.12798,914
1133,18,-1.107192,834
1133,19,0.913671,774
1133,20,0.94491,734
1113,1,1.133264,1274
1113,2,1.263381,1274
1113,3,1.267609,1274
1113,4,1.184082,1274
1113,5,1.109615,1274
1113,6,1.042727,1294
1113,7,0.982241,1294
1113,8,-1.071073,1274
1113,9,-1.112797,1274
1113,10,-1.14322,1254
1113,11,-1.15952,1234
1113,12,-1.16452,1214
1113,13,-1.15822,1174
1113,14,-1.143446,1114
1113,15,-1.125847,1054
1113,16,-1.119548,994
1113,17,-1.107599,914
1113,18,0.927241,834
1113,19,0.952337,774
1113,20,1.002804,734
1413,1,1.221923,1274
1413,2,1.436712,1274
1413,3,1.616714,1274
1413,4,1.742431,1274
1413,5,1.792664,1274
1413,6,1.808617,1294
1413,7,1.7775,1294
1413,8,1.707945,1274
1413,9,1.642831,1274
1413,10,1.598579,1254
1413,11,1.576714,1234
1413,12,1.571714,1214
1413,13,1.583579,1174
1413,14,1.604541,1114
1413,15,1.635456,1054
1413,16,1.630456,994
1413,17,1.65342,914
1413,18,1.657945,834
1413,19,1.692115,774
1413,20,1.7125,734
994,1,1.173918,1092
994,2,1.279833,1092
994,3,1.408786,1052
994,4,1.514296,1012
994,5,1.635156,932
994,6,1.733485,852
994,7,1.808818,712
994,8,1.861566,612
994,9,1.936352,512
994,10,2.00314,432
994,11,2.064701,392
