s,a,r,sp
131,3,2.609245,123
131,4,3.075504,124
131,5,3.413871,124
131,6,3.653586,125
131,7,3.815871,125
131,8,3.896439,126
131,9,3.302943,126
131,10,2.702917,126
131,11,2.15147,127
131,12,1.61883,127
131,13,1.083689,127
131,14,0.58357,128
131,15,0.098192,128
131,16,-0.376245,128
131,17,-0.824368,129
131,18,-1.253654,129
131,19,-1.653837,130
131,20,-2.024318,130
127,1,0.328962,122
127,2,0.658197,122
127,3,1.037594,123
127,4,1.240869,124
127,5,1.369942,124
127,6,1.454602,125
127,7,1.505782,125
127,8,1.343789,126
127,9,0.750293,126
127,10,0.151672,126
127,11,-0.398828,127
127,12,-0.933821,127
127,13,-1.468962,127
127,14,-1.969081,128
127,15,-2.454459,128
127,16,-2.928897,128
127,17,-3.377018,129
127,18,-3.806228,129
127,19,-4.206486,130
127,20,-4.576965,130
124,1,-0.114134,163
124,2,-0.240934,163
124,3,-0.388838,163
124,4,-0.544251,163
124,5,-0.714284,163
124,6,-0.89228,164
124,7,-1.080295,164
124,8,-1.264527,163
124,9,-1.463986,163
124,10,-1.668013,163
124,11,-1.874845,163
124,12,-2.08331,162
124,13,-2.301489,162
124,14,-2.803661,161
124,15,-3.292307,161
124,16,-3.773346,160
124,17,-4.237053,160
124,18,-4.69239,159
124,19,-5.136812,159
124,20,-5.565117,158
130,1,0.758166,163
130,2,1.462512,163
130,3,2.012869,163
130,4,2.344565,163
130,5,2.569701,163
130,6,2.710854,164
130,7,2.788448,164
130,8,2.816108,163
130,9,2.740898,163
130,10,2.173751,163
130,11,1.622105,163
130,12,1.092874,162
130,13,0.571903,162
130,14,0.069732,161
130,15,-0.418915,161
130,16,-0.899954,160
130,17,-1.36366,160
130,18,-1.818999,159
130,19,-2.263417,159
130,20,-2.691503,158
121,1,0.06433,163
121,2,0.062986,163
121,3,-0.005038,163
121,4,-0.132211,163
121,5,-0.269946,163
121,6,-0.459938,164
121,7,-0.720951,164
121,8,-0.981833,163
121,9,-1.266589,163
121,10,-1.566337,163
121,11,-1.872995,163
121,12,-2.18002,162
121,13,-2.492657,162
121,14,-2.796457,161
121,15,-3.093605,161
121,16,-3.383847,160
121,17,-3.678348,160
121,18,-3.955208,159
121,19,-4.22509,159
121,20,-4.635168,158
159,1,1.167058,262
159,2,2.114163,262
159,3,2.781056,261
159,4,3.32202,260
159,5,3.564619,259
159,6,3.689149,259
159,7,3.573981,258
159,8,3.309954,257
159,9,2.973921,257
159,10,2.623624,256
159,11,2.380852,256
159,12,2.081386,256
159,13,1.826719,256
159,14,1.71892,256
159,15,1.56355,257
159,16,1.45346,259
159,17,1.388477,260
159,18,1.368263,262
159,19,1.250778,264
159,20,1.1781,266
163,1,0.657874,262
163,2,1.167279,262
163,3,1.487365,261
163,4,1.733023,260
163,5,1.66325,259
163,6,1.553825,259
163,7,1.412531,258
163,8,1.089824,257
163,9,0.807248,257
163,10,0.436824,256
163,11,0.151836,256
163,12,-0.109796,256
163,13,-0.411936,256
163,14,-0.608417,256
163,15,-0.845619,257
163,16,-0.968897,259
163,17,-1.140971,260
163,18,-1.192586,262
163,19,-1.320299,264
163,20,-1.380939,266
162,1,0.826683,262
162,2,1.477838,262
162,3,1.90416,261
162,4,2.232848,260
162,5,2.332811,259
162,6,2.230785,259
162,7,1.981362,258
162,8,1.734792,257
162,9,1.432188,257
162,10,1.037174,256
162,11,0.734383,256
162,12,0.459248,256
162,13,0.219842,256
162,14,0.020482,256
162,15,-0.136826,257
162,16,-0.253988,259
162,17,-0.426859,260
162,18,-0.467609,262
162,19,-0.580484,264
162,20,-0.649578,266
257,1,1.500613,283
257,2,2.80503,282
257,3,3.842961,281
257,4,4.843894,280
257,5,5.318492,279
257,6,6.053897,278
257,7,6.326143,277
257,8,6.690052,275
257,9,6.958187,274
257,10,7.19036,273
257,11,7.425665,272
257,12,7.556935,271
257,13,7.640313,270
257,14,7.865979,269
257,15,8.194035,269
257,16,8.601681,268
257,17,9.076043,268
257,18,9.475649,267
257,19,9.822502,267
257,20,9.722502,267
259,1,1.139353,283
259,2,2.124358,282
259,3,3.089643,281
259,4,3.645962,280
259,5,4.179865,279
259,6,4.511802,278
259,7,4.682966,277
259,8,4.946986,275
259,9,5.146154,274
259,10,5.323688,273
259,11,5.516599,272
259,12,5.503227,271
259,13,5.586605,270
259,14,5.812271,269
259,15,6.14032,269
259,16,6.547974,268
259,17,7.021927,268
259,18,7.535168,267
259,19,8.083307,267
259,20,8.556352,267
262,1,0.686349,283
262,2,1.26874,282
262,3,1.709312,281
262,4,1.995045,280
262,5,2.13832,279
262,6,2.329348,278
262,7,2.430142,277
262,8,2.470377,275
262,9,2.47889,274
262,10,2.480848,273
262,11,2.491266,272
262,12,2.525298,271
262,13,2.616813,270
262,14,2.842478,269
262,15,3.010203,269
262,16,3.384112,268
262,17,3.609233,268
262,18,3.866806,267
262,19,4.161919,267
262,20,4.713448,267
282,1,1.101658,288
282,2,1.515442,288
282,3,1.373876,289
282,4,0.98992,290
282,5,0.495842,290
282,6,0.006972,290
282,7,-0.420058,290
282,8,-0.765401,289
282,9,-1.198326,287
282,10,-1.540206,286
282,11,-1.716503,284
282,12,-1.735003,281
282,13,-1.616733,279
282,14,-1.649048,277
282,15,-1.490756,276
282,16,-1.417991,275
282,17,-1.305154,274
282,18,-1.14638,273
282,19,-0.951825,273
282,20,-0.714986,273
269,1,-0.034809,288
269,2,-0.137842,288
269,3,-0.277078,289
269,4,-0.500681,290
269,5,-0.743783,290
269,6,-1.286245,290
269,7,-2.023444,290
269,8,-2.639126,289
269,9,-3.124278,287
269,10,-3.466175,286
269,11,-3.642471,284
269,12,-3.660972,281
269,13,-3.535158,279
269,14,-3.281029,277
269,15,-3.319989,276
269,16,-3.476541,275
269,17,-3.542391,274
269,18,-3.646035,273
269,19,-3.727498,273
269,20,-3.789987,273
273,1,-0.303367,288
273,2,-1.170655,288
273,3,-2.340537,289
273,4,-3.323654,290
273,5,-4.137709,290
273,6,-4.8018,290
273,7,-5.323831,290
273,8,-5.892722,289
273,9,-6.377874,287
273,10,-6.719765,286
273,11,-6.896062,284
273,12,-6.914562,281
273,13,-6.788389,279
273,14,-6.820197,277
273,15,-6.70542,276
273,16,-6.519796,275
273,17,-6.266273,274
273,18,-5.945889,273
273,19,-5.561477,273
273,20,-5.333676,273
273,1,-0.127911,318
273,2,-1.006229,317
273,3,-2.057818,316
273,4,-3.01065,315
273,5,-3.763483,314
273,6,-4.389382,312
273,7,-4.980189,311
273,8,-5.498759,310
273,9,-5.828616,308
273,10,-5.942447,307
273,11,-5.881409,306
273,12,-5.722167,306
273,13,-5.598337,306
273,14,-5.386783,306
273,15,-5.091944,306
273,16,-4.719168,307
273,17,-4.275416,307
273,18,-3.762509,308
273,19,-3.185629,309
273,20,-2.568474,310
273,1,-0.187389,318
273,2,-0.37333,317
273,3,-1.235796,316
273,4,-2.265787,315
273,5,-3.094079,314
273,6,-3.791825,312
273,7,-4.387897,311
273,8,-4.906467,310
273,9,-5.236325,308
273,10,-5.350174,307
273,11,-5.289118,306
273,12,-5.045941,306
273,13,-4.901672,306
273,14,-4.687056,306
273,15,-4.191303,306
273,16,-3.81575,307
273,17,-3.444163,307
273,18,-3.645362,308
273,19,-3.84166,309
273,20,-4.029865,310
287,1,2.620019,318
287,2,4.187421,317
287,3,5.043439,316
287,4,5.432028,315
287,5,5.469394,314
287,6,5.407294,312
287,7,5.179495,311
287,8,4.758662,310
287,9,4.428805,308
287,10,4.315019,307
287,11,4.376017,306
287,12,4.619188,306
287,13,4.632862,306
287,14,4.661713,306
287,15,4.907205,306
287,16,5.039884,307
287,17,5.41239,307
287,18,5.639998,308
287,19,6.130219,309
287,20,6.453087,310
307,1,1.460681,259
307,2,2.795994,258
307,3,4.178933,256
307,4,5.12756,255
307,5,6.132408,254
307,6,6.939534,254
307,7,7.574767,254
307,8,8.082911,255
307,9,8.807459,257
307,10,9.174571,259
307,11,9.614164,261
307,12,10.186694,264
307,13,10.859843,266
307,14,11.549526,268
307,15,11.649243,269
307,16,11.549243,271
307,17,11.449243,272
307,18,11.349243,272
307,19,11.249243,273
307,20,11.149243,273
317,1,0.236602,259
317,2,0.385733,258
317,3,0.442747,256
317,4,0.48829,255
317,5,0.2558,254
317,6,-0.488659,254
317,7,-0.999357,254
317,8,-1.265994,255
317,9,-1.277641,257
317,10,-1.031627,259
317,11,-0.676775,261
317,12,-0.444842,264
317,13,-0.55564,266
317,14,-0.515472,268
317,15,-0.556752,269
317,16,-0.563978,271
317,17,-0.393836,272
317,18,-0.334765,272
317,19,-0.248663,273
317,20,-0.134742,273
311,1,0.989875,259
311,2,1.736349,258
311,3,2.4034,256
311,4,3.074371,255
311,5,3.380908,254
311,6,3.719804,254
311,7,3.936645,254
311,8,4.079547,255
311,9,4.097101,257
311,10,4.343104,259
311,11,4.635124,261
311,12,5.038079,264
311,13,5.275208,266
311,14,5.807989,268
311,15,6.158761,269
311,16,6.820614,271
311,17,7.274993,272
311,18,8.04972,272
311,19,8.591065,273
311,20,9.456731,273
272,1,0.388967,263
272,2,0.662344,263
272,3,0.955277,264
272,4,1.214604,265
272,5,1.596878,266
272,6,1.790036,267
272,7,1.942048,269
272,8,2.054632,271
272,9,2.326966,272
272,10,2.340821,274
272,11,2.332652,275
272,12,2.488145,276
272,13,2.776978,277
272,14,3.011532,277
272,15,3.20137,278
272,16,3.393478,279
272,17,3.591223,279
272,18,3.587032,279
272,19,3.798032,280
272,20,4.020643,280
256,1,1.455511,263
256,2,2.726529,263
256,3,3.981638,264
256,4,4.753701,265
256,5,5.506706,266
256,6,6.01755,267
256,7,6.586777,269
256,8,7.00899,271
256,9,7.348349,272
256,10,7.661906,274
256,11,7.849846,275
256,12,7.986782,276
256,13,8.270817,277
256,14,8.676677,277
256,15,9.163677,278
256,16,9.678259,279
256,17,10.141008,279
256,18,10.041008,279
256,19,9.941008,280
256,20,9.841008,280
256,1,1.455512,263
256,2,2.726531,263
256,3,3.981641,264
256,4,4.753703,265
256,5,5.506709,266
256,6,6.017553,267
256,7,6.586779,269
256,8,7.008992,271
256,9,7.348351,272
256,10,7.661908,274
256,11,7.849848,275
256,12,7.986783,276
256,13,8.270819,277
256,14,8.676679,277
256,15,9.163678,278
256,16,9.67826,279
256,17,10.141007,279
256,18,10.041007,279
256,19,9.941007,280
256,20,9.841007,280
263,1,0.887685,170
263,2,1.736,169
263,3,2.306798,168
263,4,2.897898,167
263,5,3.353807,167
263,6,3.898774,166
263,7,4.107262,165
263,8,4.434074,163
263,9,4.686896,162
263,10,4.890422,161
263,11,5.071612,160
263,12,5.113493,159
263,13,5.140492,158
263,14,5.300487,158
263,15,5.572524,157
263,16,5.933973,157
263,17,6.371808,157
263,18,6.844341,157
263,19,7.344649,157
263,20,7.853531,158
266,1,0.867782,170
266,2,1.593983,169
266,3,2.348388,168
266,4,3.011153,167
266,5,3.559431,167
266,6,3.987739,166
266,7,4.304061,165
266,8,4.525345,163
266,9,4.896736,162
266,10,4.991179,161
266,11,5.270651,160
266,12,5.384684,159
266,13,5.411697,158
266,14,5.571693,158
266,15,5.843727,157
266,16,6.205184,157
266,17,6.643014,157
266,18,7.115547,157
266,19,7.615856,157
266,20,8.12474,158
280,1,1.107437,170
280,2,1.713425,169
280,3,2.182847,168
280,4,2.556166,167
280,5,2.852901,167
280,6,2.125527,166
280,7,1.401443,165
280,8,0.826466,163
280,9,0.339354,162
280,10,-0.062889,161
280,11,-0.328802,160
280,12,-0.44957,159
280,13,-0.42267,158
280,14,-0.266014,158
280,15,-0.318064,157
280,16,-0.156412,157
280,17,0.07609,157
280,18,0.371786,157
280,19,0.535801,157
280,20,0.943618,158
167,1,0.290973,187
167,2,0.402606,187
167,3,0.399864,188
167,4,0.236836,188
167,5,-0.062754,189
167,6,-0.454619,189
167,7,-0.879464,189
167,8,-1.334616,189
167,9,-1.853648,189
167,10,-2.419059,188
167,11,-2.947192,187
167,12,-3.43359,186
167,13,-3.860597,185
167,14,-4.220001,183
167,15,-4.511137,181
167,16,-4.727294,179
167,17,-4.865809,178
167,18,-4.918941,176
