s,a,r,sp
3420,16,1.346036,18301
3420,17,1.308064,1406
3420,18,1.279318,17216
3420,19,1.251369,166
3420,20,1.224176,16131
22640,1,1.122854,24811
22640,2,1.237475,24811
22640,3,1.357222,12721
22640,4,1.486098,17371
22640,5,1.578896,10241
22640,6,1.595,23261
22640,7,1.59,24656
22640,8,1.585,17216
22640,9,1.58,18301
22640,10,1.575,11326
22640,11,1.57,15976
22640,12,1.543896,11
22640,13,1.498291,15976
22640,14,1.454691,19386
22640,15,1.412952,2646
22640,16,1.381538,18301
22640,17,1.342746,1406
22640,18,1.313409,17216
22640,19,1.284888,166
22640,20,1.257143,16131
3575,1,1.135351,24811
3575,2,1.26451,24811
3575,3,1.398043,12721
3575,4,1.474253,17371
3575,5,1.469253,10241
3575,6,1.464253,23261
3575,7,1.459253,24656
3575,8,1.454253,17216
3575,9,1.449253,18301
3575,10,1.444253,11326
3575,11,1.439253,15976
3575,12,1.434253,11
3575,13,1.429253,15976
3575,14,1.424253,19386
3575,15,1.419253,2646
3575,16,1.414253,18301
3575,17,1.409253,1406
3575,18,1.387273,17216
3575,19,1.357514,166
3575,20,1.328571,16131
17216,1,1.007579,17217
17216,2,1.015478,12567
17216,3,1.017051,19542
17216,4,1.012051,2802
17216,5,1.007051,18457
17216,6,0.995478,22022
17216,7,0.990478,26052
17216,8,0.972579,30237
17216,9,0.96125,20937
17216,10,-1.056211,24812
17216,11,-1.073634,16287
17216,12,-1.084845,19697
17216,13,-1.102267,23417
17216,14,-1.119689,27602
17216,15,-1.137112,31632
17216,16,-1.148323,1717
17216,17,-1.165745,17527
17216,18,-1.176957,477
17216,19,-1.194379,4352
17216,20,-1.218012,19852
15976,1,-0.005,17217
15976,2,-0.01,12567
15976,3,-0.015,19542
15976,4,-0.02,2802
15976,5,-0.025,18457
15976,6,-0.03,22022
15976,7,-1.042092,26052
15976,8,-1.047092,30237
15976,9,-1.052092,20937
15976,10,-1.057092,24812
15976,11,-1.097553,16287
15976,12,-1.130922,19697
15976,13,-1.164291,23417
15976,14,-1.19766,27602
15976,15,-1.231028,31632
15976,16,-1.264397,1717
15976,17,-1.297766,17527
15976,18,-1.324043,477
15976,19,-1.350319,4352
15976,20,-1.376596,19852
24811,1,1.021144,17217
24811,2,1.029735,12567
24811,3,1.038691,19542
24811,4,1.040811,2802
24811,5,1.028691,18457
24811,6,1.016667,22022
24811,7,1.004735,26052
24811,8,0.979481,30237
24811,9,0.96141,20937
24811,10,-1.062739,24812
24811,11,-1.080478,16287
24811,12,-1.104586,19697
24811,13,-1.122325,23417
24811,14,-1.146433,27602
24811,15,-1.164172,31632
24811,16,-1.181911,1717
24811,17,-1.19965,17527
24811,18,-1.211019,477
24811,19,-1.228758,4352
24811,20,-1.246497,19852
20937,1,1.045633,31323
20937,2,1.089338,2648
20937,3,1.129828,28688
20937,4,1.157305,12413
20937,5,1.177899,7763
20937,6,1.190588,2648
20937,7,1.203806,18303
20937,8,1.20812,1408
20937,9,1.157899,5128
20937,10,1.110839,8848
20937,11,1.066622,24658
20937,12,1.032105,28843
20937,13,0.992325,32718
20937,14,0.961056,15048
20937,15,0.937195,18458
20937,16,-1.092048,1563
20937,17,-1.121145,5283
20937,18,-1.144217,20938
20937,19,-1.167289,4198
20937,20,-1.190361,19698
17527,1,1.065175,31323
17527,2,1.126646,2648
17527,3,1.188947,28688
17527,4,1.224898,12413
17527,5,1.263732,7763
17527,6,1.296087,2648
17527,7,1.320556,18303
17527,8,1.33594,1408
17527,9,1.281087,5128
17527,10,1.22972,8848
17527,11,1.181486,24658
17527,12,1.143947,28843
17527,13,1.100605,32718
17527,14,1.066646,15048
17527,15,1.040854,18458
17527,16,1.009286,1563
17527,17,0.978953,5283
17527,18,0.955714,20938
17527,19,0.93309,4198
17527,20,0.91105,19698
19542,1,1.027895,31323
19542,2,1.058027,2648
19542,3,1.090634,28688
19542,4,1.109496,12413
19542,5,1.120985,7763
19542,6,1.132963,2648
19542,7,1.145451,18303
19542,8,1.140451,1408
19542,9,1.092681,5128
19542,10,1.047902,8848
19542,11,1.005811,24658
19542,12,0.972895,28843
19542,13,-0.065,32718
19542,14,-1.095478,15048
19542,15,-1.119586,18458
19542,16,-1.150064,1563
19542,17,-1.180541,5283
19542,18,-1.20465,20938
19542,19,-1.228758,4198
19542,20,-1.252866,19698
7763,1,-0.005,14263
7763,2,0.997752,1863
7763,3,0.992752,22323
7763,4,0.987752,10543
7763,5,0.982752,18758
7763,6,0.985625,6978
7763,7,0.980625,6978
7763,8,0.975625,31778
7763,9,0.978622,22323
7763,10,0.973622,14263
7763,11,-1.062692,17673
7763,12,-1.098462,623
7763,13,-1.134231,4498
7763,14,-1.17,19998
7763,15,-1.205769,15503
7763,16,-1.241538,31933
7763,17,-1.277308,26508
7763,18,-1.305385,21393
7763,19,-1.341154,16743
7763,20,-1.369231,12093
18303,1,1.010267,14263
18303,2,1.021008,1863
18303,3,1.032244,22323
18303,4,1.044,10543
18303,5,1.065164,18758
18303,6,1.087647,6978
18303,7,1.101752,6978
18303,8,1.096752,31778
18303,9,1.054174,22323
18303,10,1.005556,14263
18303,11,0.960267,17673
18303,12,-1.075038,623
18303,13,-1.110113,4498
18303,14,-1.145188,19998
18303,15,-1.180263,15503
18303,16,-1.215338,31933
18303,17,-1.250414,26508
18303,18,-1.27797,21393
18303,19,-1.313045,16743
18303,20,-1.340602,12093
4198,1,1.055403,14263
4198,2,1.110567,1863
4198,3,1.15537,22323
4198,4,1.195385,10543
4198,5,1.219094,18758
4198,6,1.234,6978
4198,7,1.249553,6978
4198,8,1.255082,31778
4198,9,1.260785,22323
4198,10,1.203968,14263
4198,11,1.151107,17673
4198,12,1.11037,623
4198,13,1.071691,4498
4198,14,1.034895,19998
4198,15,0.99983,15503
4198,16,0.966358,31933
4198,17,0.934355,26508
4198,18,-0.09,21393
4198,19,-1.120316,16743
4198,20,-1.144304,12093
10543,1,1.032037,9314
10543,2,1.061038,29309
10543,3,1.079972,27914
10543,4,1.093636,14429
10543,5,1.101437,789
10543,6,1.096437,8539
10543,7,1.085,28069
10543,8,1.067345,14584
10543,9,1.056124,9624
10543,10,1.032873,4819
10543,11,1.021923,8694
10543,12,0.999459,20319
10543,13,0.988763,8694
10543,14,0.978128,13344
10543,15,0.967553,26674
10543,16,0.957037,20164
10543,17,0.957553,26519
10543,18,0.947037,29309
10543,19,0.942037,15359
10543,20,0.942553,26209
15503,1,1.050556,9314
15503,2,1.09582,29309
15503,3,1.127077,27914
15503,4,1.154157,14429
15503,5,1.1625,789
15503,6,1.164286,8539
15503,7,1.1525,28069
15503,8,1.134157,14584
15503,9,1.116111,9624
15503,10,1.098352,4819
15503,11,1.08087,8694
15503,12,1.063656,20319
15503,13,1.052647,8694
15503,14,1.041702,13344
15503,15,1.03082,26674
15503,16,1.02582,20164
15503,17,1.015,26519
15503,18,1.01582,29309
15503,19,1.01082,15359
15503,20,1.011702,26209
19998,1,1.046282,9314
19998,2,1.086257,29309
19998,3,1.117597,27914
19998,4,1.138192,14429
19998,5,1.146429,789
19998,6,1.141429,8539
19998,7,1.129773,28069
19998,8,1.118192,14584
19998,9,1.100251,9624
19998,10,1.076374,4819
19998,11,1.05913,8694
19998,12,1.042151,20319
19998,13,1.031257,8694
19998,14,1.020426,13344
19998,15,1.009656,26674
19998,16,0.998947,20164
19998,17,0.999656,26519
19998,18,0.994656,29309
19998,19,0.989656,15359
19998,20,0.990426,26209
27914,1,1.034301,24970
27914,2,1.071818,30395
27914,3,1.107642,10400
27914,4,1.129758,11640
27914,5,1.141667,20940
27914,6,1.15408,27450
27914,7,1.16098,12570
27914,8,1.174286,18305
27914,9,1.175513,15980
27914,10,1.189583,7765
27914,11,1.191073,18305
27914,12,1.192632,30085
27914,13,1.200957,28845
27914,14,1.216486,27450
27914,15,1.247222,13965
27914,16,1.28,9005
27914,17,1.315,4200
27914,18,1.343735,19700
27914,19,1.3925,11640
27914,20,1.435484,2960
26674,1,1.057937,24970
26674,2,1.115926,30395
26674,3,1.177157,10400
26674,4,1.241411,11640
26674,5,1.285345,20940
26674,6,1.339369,27450
26674,7,1.378953,12570
26674,8,1.428599,18305
26674,9,1.467438,15980
26674,10,1.508974,7765
26674,11,1.536623,18305
26674,12,1.54,30085
26674,13,1.552021,28845
26674,14,1.573243,27450
26674,15,1.613889,13965
26674,16,1.657143,9005
26674,17,1.703235,4200
26674,18,1.708817,19700
26674,19,1.703817,11640
26674,20,1.698817,2960
8694,1,1.057271,24970
8694,2,1.114031,30395
8694,3,1.168673,10400
8694,4,1.224635,11640
8694,5,1.275448,20940
8694,6,1.312593,27450
8694,7,1.359231,12570
8694,8,1.374634,18305
8694,9,1.397786,15980
8694,10,1.444845,7765
8694,11,1.463325,18305
8694,12,1.466316,30085
8694,13,1.477553,28845
8694,14,1.497568,27450
8694,15,1.536111,13965
8694,16,1.577143,9005
8694,17,1.630976,4200
8694,18,1.625976,19700
8694,19,1.620976,11640
8694,20,1.615976,2960
30085,1,-0.005,17841
30085,2,-1.016897,4666
30085,3,-1.03569,23886
30085,4,-1.109655,32101
30085,5,-1.169828,2186
30085,6,-1.223103,2186
30085,7,-1.262586,19081
30085,8,-1.302069,33341
30085,9,-1.334655,5751
30085,10,-1.360345,29311
30085,11,-1.365345,18771
30085,12,-1.363448,14121
30085,13,-1.354655,12726
30085,14,-1.345862,32721
30085,15,-1.330172,13811
30085,16,-1.314483,23111
30085,17,-1.285,24506
30085,18,-1.296897,3891
30085,19,-1.308793,19391
30085,20,-1.32069,23111
18305,1,-1.012299,17841
18305,2,-1.031898,4666
18305,3,-1.109891,23886
18305,4,-1.187883,32101
18305,5,-1.251277,2186
18305,6,-1.300073,2186
18305,7,-1.341569,19081
18305,8,-1.375766,33341
18305,9,-1.409964,5751
18305,10,-1.436861,29311
18305,11,-1.441861,18771
18305,12,-1.439562,14121
18305,13,-1.429964,12726
18305,14,-1.420365,32721
18305,15,-1.410766,13811
18305,16,-1.393869,23111
18305,17,-1.369672,24506
18305,18,-1.330876,3891
18305,19,-1.29938,19391
18305,20,-1.311679,23111
20940,1,1.01939,17841
20940,2,1.01439,4666
20940,3,0.997048,23886
20940,4,-1.031905,32101
20940,5,-1.060714,2186
20940,6,-1.089524,2186
20940,7,-1.112381,19081
20940,8,-1.129286,33341
20940,9,-1.158095,5751
20940,10,-1.180952,29311
20940,11,-1.185952,18771
20940,12,-1.185,14121
20940,13,-1.178095,12726
20940,14,-1.177143,32721
20940,15,-1.170238,13811
20940,16,-1.169286,23111
20940,17,-1.162381,24506
20940,18,-1.149524,3891
20940,19,-1.142619,19391
20940,20,-1.12381,23111
19081,1,1.135969,405
19081,2,1.247282,32955
19081,3,1.320052,10480
19081,4,1.35766,560
19081,5,1.360027,15440
19081,6,1.362473,9395
19081,7,1.357473,3350
19081,8,1.33037,30785
19081,9,1.311021,12185
19081,10,1.306021,2265
19081,11,1.308158,1025
19081,12,1.332473,29700
19081,13,1.335,20400
19081,14,1.337609,8775
19081,15,1.363889,16990
19081,16,1.375056,21640
19081,17,1.395,2265
19081,18,1.433529,33420
19081,19,1.465241,870
19081,20,1.488957,10790
12726,1,1.028333,405
12726,2,1.040847,32955
12726,3,1.035847,10480
12726,4,1.024944,560
12726,5,1.008333,15440
12726,6,0.991978,9395
12726,7,0.970405,3350
12726,8,-1.056129,30785
12726,9,-1.071882,12185
12726,10,-1.076882,2265
12726,11,-1.076505,1025
12726,12,-0.06,29700
12726,13,0.940405,20400
12726,14,0.94087,8775
12726,15,0.946978,16990
12726,16,0.959106,21640
12726,17,0.983966,2265
12726,18,0.997719,33420
12726,19,1.018772,870
12726,20,1.041104,10790
14121,1,1.058158,405
14121,2,1.087826,32955
14121,3,1.101022,10480
14121,4,1.096022,560
14121,5,1.091022,15440
14121,6,1.073825,9395
14121,7,1.056892,3350
14121,8,1.028783,30785
14121,9,1.012592,12185
14121,10,1.007592,2265
14121,11,1.008158,1025
14121,12,1.026022,29700
14121,13,1.026892,20400
14121,14,1.027826,8775
14121,15,1.047222,16990
14121,16,1.054831,21640
14121,17,1.069286,2265
14121,18,1.091287,33420
14121,19,1.129242,870
14121,20,1.154658,10790
