,state,state_p,act,r_acc
12949,"(2, 26)","(1, 26)",100.0,-0.453939
12950,"(2, 26)","(1, 26)",110.0,-0.553939
12951,"(2, 26)","(1, 26)",120.0,-0.653939
12952,"(2, 26)","(1, 26)",130.0,-0.753939
12953,"(2, 26)","(1, 26)",140.0,-0.853939
12954,"(2, 26)","(1, 26)",150.0,-0.953939
12955,"(2, 26)","(1, 26)",160.0,-1.053939
12956,"(2, 26)","(1, 26)",170.0,-1.153939
12957,"(2, 26)","(1, 26)",180.0,-1.253939
12958,"(2, 26)","(1, 26)",190.0,-1.353939
12959,"(2, 26)","(1, 26)",200.0,-1.453939
12960,"(1, 26)","(2, 26)",10.0,0.035674
12961,"(1, 26)","(2, 26)",20.0,-0.064326
12962,"(1, 26)","(2, 26)",30.0,-0.164326
12963,"(1, 26)","(2, 26)",40.0,-0.264326
12964,"(1, 26)","(2, 26)",50.0,-0.364326
12965,"(1, 26)","(2, 26)",60.0,-0.464326
12966,"(1, 26)","(2, 26)",70.0,-0.564326
12967,"(1, 26)","(2, 26)",80.0,-0.664326
12968,"(1, 26)","(2, 26)",90.0,-0.764326
12969,"(1, 26)","(2, 26)",100.0,-0.864326
12970,"(1, 26)","(2, 26)",110.0,-0.964326
12971,"(1, 26)","(2, 26)",120.0,-1.064326
12972,"(1, 26)","(2, 26)",130.0,-1.164326
12973,"(1, 26)","(2, 26)",140.0,-1.264326
12974,"(1, 26)","(2, 26)",150.0,-1.364326
12975,"(1, 26)","(2, 26)",160.0,-1.464326
12976,"(1, 26)","(2, 26)",170.0,-1.564326
12977,"(1, 26)","(2, 26)",180.0,-1.664326
12978,"(1, 26)","(2, 26)",190.0,-1.764326
12979,"(1, 26)","(2, 26)",200.0,-1.864326
12980,"(1, 26)","(2, 26)",10.0,0.059904
12981,"(1, 26)","(2, 26)",20.0,-0.040096
12982,"(1, 26)","(2, 26)",30.0,-0.140096
12983,"(1, 26)","(2, 26)",40.0,-0.240096
12984,"(1, 26)","(2, 26)",50.0,-0.340096
12985,"(1, 26)","(2, 26)",60.0,-0.440096
12986,"(1, 26)","(2, 26)",70.0,-0.540096
12987,"(1, 26)","(2, 26)",80.0,-0.640096
12988,"(1, 26)","(2, 26)",90.0,-0.740096
12989,"(1, 26)","(2, 26)",100.0,-0.840096
12990,"(1, 26)","(2, 26)",110.0,-0.940096
12991,"(1, 26)","(2, 26)",120.0,-1.040096
12992,"(1, 26)","(2, 26)",130.0,-1.140096
12993,"(1, 26)","(2, 26)",140.0,-1.240096
12994,"(1, 26)","(2, 26)",150.0,-1.340096
12995,"(1, 26)","(2, 26)",160.0,-1.440096
12996,"(1, 26)","(2, 26)",170.0,-1.540096
12997,"(1, 26)","(2, 26)",180.0,-1.640096
12998,"(1, 26)","(2, 26)",190.0,-1.740096
12999,"(1, 26)","(2, 26)",200.0,-1.840096
13040,"(2, 26)","(1, 26)",10.0,0.683228
13041,"(2, 26)","(1, 26)",20.0,0.583228
13042,"(2, 26)","(1, 26)",30.0,0.483228
13043,"(2, 26)","(1, 26)",40.0,0.383228
13044,"(2, 26)","(1, 26)",50.0,0.283228
13045,"(2, 26)","(1, 26)",60.0,0.183228
13046,"(2, 26)","(1, 26)",70.0,0.083228
13047,"(2, 26)","(1, 26)",80.0,-0.016772
13048,"(2, 26)","(1, 26)",90.0,-0.116772
13049,"(2, 26)","(1, 26)",100.0,-0.216772
13050,"(2, 26)","(1, 27)",110.0,-0.316772
13051,"(2, 26)","(1, 27)",120.0,-0.416772
13052,"(2, 26)","(1, 27)",130.0,-0.516772
13053,"(2, 26)","(1, 27)",140.0,-0.616772
13054,"(2, 26)","(1, 27)",150.0,-0.716772
13055,"(2, 26)","(1, 27)",160.0,-0.816772
13056,"(2, 26)","(1, 27)",170.0,-0.916772
13057,"(2, 26)","(1, 27)",180.0,-1.016772
13058,"(2, 26)","(1, 26)",190.0,-1.116772
13059,"(2, 26)","(1, 26)",200.0,-1.216772
13080,"(1, 26)","(1, 26)",10.0,0.59941
13081,"(1, 26)","(1, 26)",20.0,0.49941
13082,"(1, 26)","(1, 26)",30.0,0.39941
13083,"(1, 26)","(1, 26)",40.0,0.29941
13084,"(1, 26)","(1, 26)",50.0,0.19941
13085,"(1, 26)","(1, 26)",60.0,0.09941
13086,"(1, 26)","(1, 26)",70.0,-0.00059
13087,"(1, 26)","(1, 26)",80.0,-0.10059
13088,"(1, 26)","(1, 26)",90.0,-0.20059
13089,"(1, 26)","(1, 26)",100.0,-0.30059
13090,"(1, 26)","(1, 26)",110.0,-0.40059
13091,"(1, 26)","(1, 26)",120.0,-0.50059
13092,"(1, 26)","(1, 26)",130.0,-0.60059
13093,"(1, 26)","(1, 26)",140.0,-0.70059
13094,"(1, 26)","(1, 26)",150.0,-0.80059
13095,"(1, 26)","(1, 26)",160.0,-0.90059
13096,"(1, 26)","(1, 26)",170.0,-1.00059
13097,"(1, 26)","(1, 26)",180.0,-1.10059
13098,"(1, 26)","(1, 26)",190.0,-1.20059
13099,"(1, 26)","(1, 26)",200.0,-1.30059
13120,"(1, 27)","(1, 26)",10.0,-0.1
13121,"(1, 27)","(1, 26)",20.0,-0.2
13122,"(1, 27)","(1, 26)",30.0,-0.3
13123,"(1, 27)","(1, 26)",40.0,-0.4
13124,"(1, 27)","(1, 26)",50.0,-0.5
13125,"(1, 27)","(1, 26)",60.0,-0.6
13126,"(1, 27)","(1, 26)",70.0,-0.7
13127,"(1, 27)","(1, 26)",80.0,-0.8
13128,"(1, 27)","(1, 26)",90.0,-0.9
13129,"(1, 27)","(1, 26)",100.0,-1.0
13130,"(1, 27)","(1, 26)",110.0,-1.1
13131,"(1, 27)","(1, 26)",120.0,-1.2
13132,"(1, 27)","(1, 26)",130.0,-1.3
13133,"(1, 27)","(1, 26)",140.0,-1.4
13134,"(1, 27)","(1, 26)",150.0,-1.5
13135,"(1, 27)","(1, 26)",160.0,-1.6
13136,"(1, 27)","(1, 26)",170.0,-1.7
13137,"(1, 27)","(1, 26)",180.0,-1.8
13138,"(1, 27)","(1, 26)",190.0,-1.9
13139,"(1, 27)","(1, 26)",200.0,-2.0
13145,"(1, 26)","(1, 27)",60.0,-1.172763
13146,"(1, 26)","(1, 27)",70.0,-2.030776
13147,"(1, 26)","(1, 27)",80.0,-2.888125
13148,"(1, 26)","(1, 27)",90.0,-3.744884
13149,"(1, 26)","(1, 27)",100.0,-4.600987
13150,"(1, 26)","(1, 27)",110.0,-5.456387
13151,"(1, 26)","(1, 27)",120.0,-6.310999
13152,"(1, 26)","(1, 27)",130.0,-7.164741
13153,"(1, 26)","(1, 27)",140.0,-8.017597
13154,"(1, 26)","(1, 27)",150.0,-8.869461
13155,"(1, 26)","(1, 27)",160.0,-9.720571
13156,"(1, 26)","(1, 27)",170.0,-10.570269
13157,"(1, 26)","(1, 26)",180.0,-11.418788
13158,"(1, 26)","(1, 26)",190.0,-12.266135
13159,"(1, 26)","(1, 26)",200.0,-13.112298
13160,"(1, 26)","(1, 26)",10.0,-0.100003
13161,"(1, 26)","(1, 26)",20.0,-0.200006
13162,"(1, 26)","(1, 26)",30.0,-0.300009
13163,"(1, 26)","(1, 26)",40.0,-0.400012
13164,"(1, 26)","(1, 27)",50.0,-0.500015
13165,"(1, 26)","(1, 27)",60.0,-1.172392
13166,"(1, 26)","(1, 27)",70.0,-2.030405
13167,"(1, 26)","(1, 27)",80.0,-2.887754
13168,"(1, 26)","(1, 27)",90.0,-3.744513
13169,"(1, 26)","(1, 27)",100.0,-4.600615
13170,"(1, 26)","(1, 27)",110.0,-5.456016
13171,"(1, 26)","(1, 27)",120.0,-6.310628
13172,"(1, 26)","(1, 27)",130.0,-7.164369
13173,"(1, 26)","(1, 27)",140.0,-8.017226
13174,"(1, 26)","(1, 27)",150.0,-8.86909
13175,"(1, 26)","(1, 27)",160.0,-9.7202
13176,"(1, 26)","(1, 27)",170.0,-10.569898
13177,"(1, 26)","(1, 26)",180.0,-11.418416
13178,"(1, 26)","(1, 26)",190.0,-12.265764
13179,"(1, 26)","(1, 26)",200.0,-13.111927
13180,"(1, 26)","(1, 26)",10.0,-0.100004
13181,"(1, 26)","(1, 26)",20.0,-0.200008
13182,"(1, 26)","(1, 26)",30.0,-0.300012
13183,"(1, 26)","(1, 26)",40.0,-0.400016
13184,"(1, 26)","(1, 27)",50.0,-0.50002
13185,"(1, 26)","(1, 27)",60.0,-1.172524
13186,"(1, 26)","(1, 27)",70.0,-2.030537
13187,"(1, 26)","(1, 27)",80.0,-2.887886
13188,"(1, 26)","(1, 27)",90.0,-3.744645
13189,"(1, 26)","(1, 27)",100.0,-4.600748
13190,"(1, 26)","(1, 27)",110.0,-5.456148
13191,"(1, 26)","(1, 27)",120.0,-6.31076
13192,"(1, 26)","(1, 27)",130.0,-7.164502
13193,"(1, 26)","(1, 27)",140.0,-8.017358
13194,"(1, 26)","(1, 27)",150.0,-8.869222
13195,"(1, 26)","(1, 27)",160.0,-9.720332
13196,"(1, 26)","(1, 27)",170.0,-10.57003
13197,"(1, 26)","(1, 26)",180.0,-11.418549
13198,"(1, 26)","(1, 26)",190.0,-12.265896
13199,"(1, 26)","(1, 26)",200.0,-13.112059
13320,"(2, 26)","(1, 26)",10.0,0.021389
13321,"(2, 26)","(1, 26)",20.0,-0.078611
13322,"(2, 26)","(1, 26)",30.0,-0.178611
13323,"(2, 26)","(1, 26)",40.0,-0.278611
13324,"(2, 26)","(1, 26)",50.0,-0.378611
13325,"(2, 26)","(1, 26)",60.0,-0.478611
13326,"(2, 26)","(1, 26)",70.0,-0.578611
13327,"(2, 26)","(1, 26)",80.0,-0.678611
13328,"(2, 26)","(1, 26)",90.0,-0.778611
13329,"(2, 26)","(1, 26)",100.0,-0.878611
13330,"(2, 26)","(1, 26)",110.0,-0.978611
13331,"(2, 26)","(1, 26)",120.0,-1.078611
13332,"(2, 26)","(1, 26)",130.0,-1.178611
13333,"(2, 26)","(1, 26)",140.0,-1.278611
13334,"(2, 26)","(1, 26)",150.0,-1.378611
13335,"(2, 26)","(1, 26)",160.0,-1.478611
13336,"(2, 26)","(1, 26)",170.0,-1.578611
13337,"(2, 26)","(1, 26)",180.0,-1.678611
13338,"(2, 26)","(1, 26)",190.0,-2.664214
13339,"(2, 26)","(1, 26)",200.0,-5.115715
13360,"(2, 26)","(1, 26)",10.0,0.021421
13361,"(2, 26)","(1, 26)",20.0,-0.078579
13362,"(2, 26)","(1, 26)",30.0,-0.178579
13363,"(2, 26)","(1, 26)",40.0,-0.278579
13364,"(2, 26)","(1, 26)",50.0,-0.378579
13365,"(2, 26)","(1, 26)",60.0,-0.478579
13366,"(2, 26)","(1, 26)",70.0,-0.578579
13367,"(2, 26)","(1, 26)",80.0,-0.678579
13368,"(2, 26)","(1, 26)",90.0,-0.778579
13369,"(2, 26)","(1, 26)",100.0,-0.878579
13370,"(2, 26)","(1, 26)",110.0,-0.978579
13371,"(2, 26)","(1, 26)",120.0,-1.078579
13372,"(2, 26)","(1, 26)",130.0,-1.178579
13373,"(2, 26)","(1, 26)",140.0,-1.278579
13374,"(2, 26)","(1, 26)",150.0,-1.378579
13375,"(2, 26)","(1, 26)",160.0,-1.478579
13376,"(2, 26)","(1, 26)",170.0,-1.578579
13377,"(2, 26)","(1, 26)",180.0,-1.678579
13378,"(2, 26)","(1, 26)",190.0,-2.664116
13379,"(2, 26)","(1, 26)",200.0,-5.115618
13380,"(1, 26)","(2, 26)",10.0,1.218415
13381,"(1, 26)","(2, 26)",20.0,1.118415
13382,"(1, 26)","(2, 26)",30.0,1.018415
13383,"(1, 26)","(2, 26)",40.0,0.918415
13384,"(1, 26)","(2, 26)",50.0,0.818415
13385,"(1, 26)","(2, 26)",60.0,0.718415
13386,"(1, 26)","(2, 26)",70.0,0.618415
13387,"(1, 26)","(2, 26)",80.0,0.518415
13388,"(1, 26)","(2, 26)",90.0,0.418415
13389,"(1, 26)","(2, 26)",100.0,0.318415
13390,"(1, 26)","(2, 26)",110.0,0.218415
13391,"(1, 26)","(2, 26)",120.0,0.118415
13392,"(1, 26)","(2, 26)",130.0,0.018415
13393,"(1, 26)","(2, 26)",140.0,-0.081585
13394,"(1, 26)","(2, 26)",150.0,-0.181585
13395,"(1, 26)","(2, 26)",160.0,-0.281585
13396,"(1, 26)","(2, 26)",170.0,-0.381585
13397,"(1, 26)","(2, 26)",180.0,-0.481585
13398,"(1, 26)","(2, 26)",190.0,-0.581585
13399,"(1, 26)","(2, 26)",200.0,-0.681585
13400,"(1, 26)","(2, 26)",10.0,2.294529
13401,"(1, 26)","(2, 26)",20.0,2.194529
13402,"(1, 26)","(2, 26)",30.0,2.094529
13403,"(1, 26)","(2, 26)",40.0,1.994529
13404,"(1, 26)","(2, 26)",50.0,1.894529
13405,"(1, 26)","(2, 26)",60.0,1.794529
13406,"(1, 26)","(2, 26)",70.0,1.694529
13407,"(1, 26)","(2, 26)",80.0,1.594529
13408,"(1, 26)","(2, 26)",90.0,1.494529
13409,"(1, 26)","(2, 26)",100.0,1.394529
13410,"(1, 26)","(2, 26)",110.0,1.294529
13411,"(1, 26)","(2, 26)",120.0,1.194529
13412,"(1, 26)","(2, 26)",130.0,1.094529
13413,"(1, 26)","(2, 26)",140.0,0.994529
13414,"(1, 26)","(2, 26)",150.0,0.894529
13415,"(1, 26)","(2, 26)",160.0,0.794529
13416,"(1, 26)","(2, 26)",170.0,0.694529
13417,"(1, 26)","(2, 26)",180.0,0.594529
13418,"(1, 26)","(2, 26)",190.0,0.494529
13419,"(1, 26)","(2, 26)",200.0,0.394529
13420,"(1, 26)","(2, 26)",10.0,0.610565
13421,"(1, 26)","(2, 26)",20.0,0.510565
13422,"(1, 26)","(2, 26)",30.0,0.410565
13423,"(1, 26)","(2, 26)",40.0,0.310565
13424,"(1, 26)","(2, 26)",50.0,0.210565
13425,"(1, 26)","(2, 26)",60.0,0.110565
13426,"(1, 26)","(2, 26)",70.0,0.010565
13427,"(1, 26)","(2, 26)",80.0,-0.089435
13428,"(1, 26)","(2, 26)",90.0,-0.189435
13429,"(1, 26)","(2, 26)",100.0,-0.289435
13430,"(1, 26)","(2, 26)",110.0,-0.389435
13431,"(1, 26)","(2, 26)",120.0,-0.489435
13432,"(1, 26)","(2, 26)",130.0,-0.589435
13433,"(1, 26)","(2, 26)",140.0,-0.689435
13434,"(1, 26)","(2, 26)",150.0,-0.789435
13435,"(1, 26)","(2, 26)",160.0,-0.889435
13436,"(1, 26)","(2, 26)",170.0,-0.989435
13437,"(1, 26)","(2, 26)",180.0,-1.089435
13438,"(1, 26)","(2, 26)",190.0,-1.189435
13439,"(1, 26)","(2, 26)",200.0,-1.289435
13440,"(2, 26)","(2, 26)",10.0,-0.10002
13441,"(2, 26)","(2, 26)",20.0,-0.20004
13442,"(2, 26)","(2, 26)",30.0,-0.300059
13443,"(2, 26)","(2, 26)",40.0,-0.400079
13444,"(2, 26)","(2, 26)",50.0,-0.500098
13445,"(2, 26)","(2, 26)",60.0,-3.253399
13446,"(2, 26)","(2, 26)",70.0,-6.593542
13447,"(2, 26)","(2, 26)",80.0,-9.898968
13448,"(2, 26)","(2, 26)",90.0,-13.154428
13449,"(2, 26)","(2, 26)",100.0,-16.366442
13450,"(2, 26)","(2, 26)",110.0,-19.523128
13451,"(2, 26)","(2, 26)",120.0,-22.626849
13452,"(2, 26)","(2, 26)",130.0,-25.679072
13453,"(2, 26)","(2, 26)",140.0,-28.67688
13454,"(2, 26)","(2, 26)",150.0,-31.620332
13455,"(2, 26)","(2, 26)",160.0,-34.504312
13456,"(2, 26)","(2, 26)",170.0,-37.325075
13457,"(2, 26)","(2, 26)",180.0,-40.09869
13458,"(2, 26)","(2, 26)",190.0,-42.818759
13459,"(2, 26)","(2, 26)",200.0,-45.486293
13460,"(2, 26)","(2, 26)",10.0,-0.100019
13461,"(2, 26)","(2, 26)",20.0,-0.200037
13462,"(2, 26)","(2, 26)",30.0,-0.300056
13463,"(2, 26)","(2, 26)",40.0,-0.400074
13464,"(2, 26)","(2, 26)",50.0,-0.500093
13465,"(2, 26)","(2, 26)",60.0,-3.253246
13466,"(2, 26)","(2, 26)",70.0,-6.59339
13467,"(2, 26)","(2, 26)",80.0,-9.898815
13468,"(2, 26)","(2, 26)",90.0,-13.154275
13469,"(2, 26)","(2, 26)",100.0,-16.36629
13470,"(2, 26)","(2, 26)",110.0,-19.522976
13471,"(2, 26)","(2, 26)",120.0,-22.626697
13472,"(2, 26)","(2, 26)",130.0,-25.678919
13473,"(2, 26)","(2, 26)",140.0,-28.676728
13474,"(2, 26)","(2, 26)",150.0,-31.62018
13475,"(2, 26)","(2, 26)",160.0,-34.50416
13476,"(2, 26)","(2, 26)",170.0,-37.324923
13477,"(2, 26)","(2, 26)",180.0,-40.098539
13478,"(2, 26)","(2, 26)",190.0,-42.818608
13479,"(2, 26)","(2, 26)",200.0,-45.486142
13482,"(2, 26)","(2, 26)",30.0,-0.30006
13483,"(2, 26)","(2, 26)",40.0,-0.40008
13484,"(2, 26)","(2, 26)",50.0,-0.5001
13485,"(2, 26)","(2, 26)",60.0,-3.253438
13486,"(2, 26)","(2, 26)",70.0,-6.593581
13487,"(2, 26)","(2, 26)",80.0,-9.899007
13488,"(2, 26)","(2, 26)",90.0,-13.154466
13489,"(2, 26)","(2, 26)",100.0,-16.366481
13490,"(2, 26)","(2, 26)",110.0,-19.523167
13491,"(2, 26)","(2, 26)",120.0,-22.626888
13492,"(2, 26)","(2, 26)",130.0,-25.679111
13493,"(2, 26)","(2, 26)",140.0,-28.676919
13494,"(2, 26)","(2, 26)",150.0,-31.620371
13495,"(2, 26)","(2, 26)",160.0,-34.504351
13496,"(2, 26)","(2, 26)",170.0,-37.325114
13497,"(2, 26)","(2, 26)",180.0,-40.098729
13498,"(2, 26)","(2, 26)",190.0,-42.818798
13499,"(2, 26)","(2, 26)",200.0,-45.486332
13500,"(2, 26)","(2, 26)",10.0,0.024757
13501,"(2, 26)","(2, 26)",20.0,-0.075243
13502,"(2, 26)","(2, 26)",30.0,-0.175243
13503,"(2, 26)","(2, 26)",40.0,-0.275243
13504,"(2, 26)","(2, 26)",50.0,-0.375243
13505,"(2, 26)","(2, 26)",60.0,-0.475243
13506,"(2, 26)","(2, 26)",70.0,-0.575243
13507,"(2, 26)","(2, 26)",80.0,-0.675243
13508,"(2, 26)","(2, 26)",90.0,-0.775243
13509,"(2, 26)","(2, 26)",100.0,-0.875243
13510,"(2, 26)","(2, 26)",110.0,-0.975243
13511,"(2, 26)","(2, 26)",120.0,-1.075243
13512,"(2, 26)","(2, 26)",130.0,-1.175243
13513,"(2, 26)","(2, 26)",140.0,-1.275243
13514,"(2, 26)","(2, 26)",150.0,-1.375243
13515,"(2, 26)","(2, 26)",160.0,-1.475243
13516,"(2, 26)","(2, 26)",170.0,-1.575243
13517,"(2, 26)","(2, 26)",180.0,-1.675243
13518,"(2, 26)","(2, 26)",190.0,-1.775243
13519,"(2, 26)","(2, 26)",200.0,-1.875243
13540,"(2, 26)","(2, 26)",10.0,0.04676
13541,"(2, 26)","(2, 26)",20.0,-0.05324
13542,"(2, 26)","(2, 26)",30.0,-0.15324
13543,"(2, 26)","(2, 26)",40.0,-0.25324
13544,"(2, 26)","(2, 26)",50.0,-0.35324
13545,"(2, 26)","(2, 26)",60.0,-0.45324
13546,"(2, 26)","(2, 26)",70.0,-0.55324
13547,"(2, 26)","(2, 26)",80.0,-0.65324
13548,"(2, 26)","(2, 26)",90.0,-0.75324
13549,"(2, 26)","(2, 26)",100.0,-0.85324
13550,"(2, 26)","(2, 26)",110.0,-0.95324
13551,"(2, 26)","(2, 26)",120.0,-1.05324
13552,"(2, 26)","(2, 26)",130.0,-1.15324
13553,"(2, 26)","(2, 26)",140.0,-1.25324
13554,"(2, 26)","(2, 26)",150.0,-1.35324
13555,"(2, 26)","(2, 26)",160.0,-1.45324
13556,"(2, 26)","(2, 26)",170.0,-1.55324
13557,"(2, 26)","(2, 26)",180.0,-1.65324
13558,"(2, 26)","(2, 26)",190.0,-1.75324
13559,"(2, 26)","(2, 26)",200.0,-1.85324
13566,"(2, 26)","(2, 25)",70.0,-0.7
13567,"(2, 26)","(2, 25)",80.0,-0.8
13568,"(2, 26)","(2, 24)",90.0,-0.9
13569,"(2, 26)","(2, 23)",100.0,-1.0
13570,"(2, 26)","(2, 23)",110.0,-1.1
13571,"(2, 26)","(2, 22)",120.0,-1.2
13572,"(2, 26)","(2, 23)",130.0,-1.3
13620,"(2, 23)","(4, 26)",10.0,-0.102267
13621,"(2, 23)","(4, 26)",20.0,-0.360055
13622,"(2, 23)","(4, 25)",30.0,-0.631739
13623,"(2, 23)","(4, 25)",40.0,-1.10821
13624,"(2, 23)","(4, 25)",50.0,-1.564781
13625,"(2, 23)","(4, 26)",60.0,-2.124833
13626,"(2, 23)","(4, 26)",70.0,-2.815951
13627,"(2, 23)","(4, 27)",80.0,-3.523004
13628,"(2, 23)","(4, 28)",90.0,-4.298265
13629,"(2, 23)","(4, 28)",100.0,-5.088861
13630,"(2, 23)","(4, 29)",110.0,-6.130369
13631,"(2, 23)","(4, 30)",120.0,-10.000586
13632,"(2, 23)","(4, 31)",130.0,-13.774195
13633,"(2, 23)","(4, 31)",140.0,-17.452259
13634,"(2, 23)","(4, 32)",150.0,-21.048316
13635,"(2, 23)","(4, 26)",160.0,-24.581814
13636,"(2, 23)","(4, 26)",170.0,-28.046571
13637,"(2, 23)","(4, 26)",180.0,-31.453455
13638,"(2, 23)","(4, 26)",190.0,-34.813215
13639,"(2, 23)","(4, 26)",200.0,-38.130861
13640,"(2, 27)","(4, 26)",10.0,2.127026
13641,"(2, 27)","(4, 26)",20.0,2.320804
13642,"(2, 27)","(4, 25)",30.0,2.358672
13643,"(2, 27)","(4, 25)",40.0,2.396541
13644,"(2, 27)","(4, 25)",50.0,2.43441
13645,"(2, 27)","(4, 26)",60.0,2.382491
13646,"(2, 27)","(4, 26)",70.0,2.282491
13647,"(2, 27)","(4, 27)",80.0,2.182491
13648,"(2, 27)","(4, 28)",90.0,2.082491
13649,"(2, 27)","(4, 28)",100.0,1.982491
13650,"(2, 27)","(4, 29)",110.0,1.882491
13651,"(2, 27)","(4, 30)",120.0,1.782491
13652,"(2, 27)","(4, 31)",130.0,1.682491
13653,"(2, 27)","(4, 31)",140.0,1.582491
13654,"(2, 27)","(4, 32)",150.0,0.000152
13655,"(2, 27)","(4, 26)",160.0,-2.172686
13656,"(2, 27)","(4, 26)",170.0,-4.307744
13657,"(2, 27)","(4, 26)",180.0,-6.454462
13658,"(2, 27)","(4, 26)",190.0,-8.508589
13659,"(2, 27)","(4, 26)",200.0,-11.012105
13660,"(2, 27)","(4, 26)",10.0,2.217488
13661,"(2, 27)","(4, 26)",20.0,2.50059
13662,"(2, 27)","(4, 25)",30.0,2.608182
13663,"(2, 27)","(4, 25)",40.0,2.612389
13664,"(2, 27)","(4, 25)",50.0,2.512389
13665,"(2, 27)","(4, 26)",60.0,2.412389
13666,"(2, 27)","(4, 26)",70.0,2.312389
13667,"(2, 27)","(4, 27)",80.0,2.212389
13668,"(2, 27)","(4, 28)",90.0,2.112389
13669,"(2, 27)","(4, 28)",100.0,2.012389
13670,"(2, 27)","(4, 29)",110.0,1.912389
13671,"(2, 27)","(4, 30)",120.0,1.812389
13672,"(2, 27)","(4, 31)",130.0,1.712389
13673,"(2, 27)","(4, 31)",140.0,0.572683
13674,"(2, 27)","(4, 32)",150.0,-1.626892
13675,"(2, 27)","(4, 26)",160.0,-3.795123
13676,"(2, 27)","(4, 26)",170.0,-5.976468
13677,"(2, 27)","(4, 26)",180.0,-8.069375
13678,"(2, 27)","(4, 26)",190.0,-10.405375
13679,"(2, 27)","(4, 26)",200.0,-13.722472
13680,"(4, 25)","(3, 26)",10.0,4.27135
13681,"(4, 25)","(3, 26)",20.0,4.17135
13682,"(4, 25)","(3, 25)",30.0,4.07135
13683,"(4, 25)","(3, 25)",40.0,3.97135
13684,"(4, 25)","(3, 24)",50.0,3.87135
13685,"(4, 25)","(3, 23)",60.0,3.77135
13686,"(4, 25)","(3, 22)",70.0,3.67135
13687,"(4, 25)","(3, 20)",80.0,3.57135
13688,"(4, 25)","(3, 19)",90.0,1.531915
13689,"(4, 25)","(3, 18)",100.0,-4.790181
13690,"(4, 25)","(3, 18)",110.0,-10.832199
13691,"(4, 25)","(3, 18)",120.0,-16.925879
13692,"(4, 25)","(3, 18)",130.0,-22.942518
13693,"(4, 25)","(3, 18)",140.0,-28.804356
13694,"(4, 25)","(3, 19)",150.0,-34.636362
13695,"(4, 25)","(3, 20)",160.0,-40.192337
13696,"(4, 25)","(3, 22)",170.0,-45.526807
13697,"(4, 25)","(3, 24)",180.0,-50.380147
13698,"(4, 25)","(3, 26)",190.0,-55.166609
13699,"(4, 25)","(3, 28)",200.0,-59.380419
13700,"(4, 26)","(3, 26)",10.0,4.440157
13701,"(4, 26)","(3, 26)",20.0,4.340157
13702,"(4, 26)","(3, 25)",30.0,4.240157
13703,"(4, 26)","(3, 25)",40.0,4.140157
13704,"(4, 26)","(3, 24)",50.0,4.040157
13705,"(4, 26)","(3, 23)",60.0,3.940157
13706,"(4, 26)","(3, 22)",70.0,3.840157
13707,"(4, 26)","(3, 20)",80.0,-0.042058
13708,"(4, 26)","(3, 19)",90.0,-6.348397
13709,"(4, 26)","(3, 18)",100.0,-12.680591
13710,"(4, 26)","(3, 18)",110.0,-18.713871
13711,"(4, 26)","(3, 18)",120.0,-24.806192
13712,"(4, 26)","(3, 18)",130.0,-30.822834
13713,"(4, 26)","(3, 18)",140.0,-36.684663
13714,"(4, 26)","(3, 19)",150.0,-42.516678
13715,"(4, 26)","(3, 20)",160.0,-48.072653
13716,"(4, 26)","(3, 22)",170.0,-53.407118
13717,"(4, 26)","(3, 24)",180.0,-58.260449
13718,"(4, 26)","(3, 26)",190.0,-63.046899
13719,"(4, 26)","(3, 28)",200.0,-67.260736
13720,"(4, 28)","(3, 26)",10.0,2.884801
13721,"(4, 28)","(3, 26)",20.0,4.908838
13722,"(4, 28)","(3, 25)",30.0,5.030168
13723,"(4, 28)","(3, 25)",40.0,4.930168
13724,"(4, 28)","(3, 24)",50.0,4.830168
13725,"(4, 28)","(3, 23)",60.0,1.583316
13726,"(4, 28)","(3, 22)",70.0,-5.077088
13727,"(4, 28)","(3, 20)",80.0,-11.505446
13728,"(4, 28)","(3, 19)",90.0,-17.812434
13729,"(4, 28)","(3, 18)",100.0,-24.145419
13730,"(4, 28)","(3, 18)",110.0,-30.175899
13731,"(4, 28)","(3, 18)",120.0,-36.269579
13732,"(4, 28)","(3, 18)",130.0,-42.286227
13733,"(4, 28)","(3, 18)",140.0,-48.148035
13734,"(4, 28)","(3, 19)",150.0,-53.980071
13735,"(4, 28)","(3, 20)",160.0,-59.536046
13736,"(4, 28)","(3, 22)",170.0,-64.870504
13737,"(4, 28)","(3, 24)",180.0,-69.723836
13738,"(4, 28)","(3, 26)",190.0,-74.510283
13739,"(4, 28)","(3, 28)",200.0,-78.72413
13740,"(3, 25)","(4, 27)",10.0,3.622134
13741,"(3, 25)","(4, 28)",20.0,3.522134
13742,"(3, 25)","(4, 29)",30.0,3.422134
13743,"(3, 25)","(4, 30)",40.0,3.322134
13744,"(3, 25)","(4, 30)",50.0,3.222134
13745,"(3, 25)","(4, 30)",60.0,3.122134
13746,"(3, 25)","(4, 30)",70.0,3.022134
13747,"(3, 25)","(4, 29)",80.0,2.922134
13748,"(3, 25)","(4, 29)",90.0,2.822134
13749,"(3, 25)","(4, 28)",100.0,2.722134
13750,"(3, 25)","(4, 27)",110.0,2.622134
13751,"(3, 25)","(4, 26)",120.0,2.522134
13752,"(3, 25)","(4, 24)",130.0,2.422134
