,state,state_p,act,r_disp
316,"(0.000135, 3.256)","(9.5e-05, 2.156)",170.0,1.433519
317,"(0.000135, 3.256)","(9.6e-05, 2.156)",180.0,1.428519
318,"(0.000135, 3.256)","(9.7e-05, 2.156)",190.0,1.423519
319,"(0.000135, 3.256)","(9.9e-05, 2.156)",200.0,1.39635
320,"(8.4e-05, 2.156)","(8.7e-05, 3.3)",10.0,1.082248
321,"(8.4e-05, 2.156)","(8.9e-05, 3.3)",20.0,1.115
322,"(8.4e-05, 2.156)","(9e-05, 3.3)",30.0,1.133936
323,"(8.4e-05, 2.156)","(9e-05, 3.3)",40.0,1.137143
324,"(8.4e-05, 2.156)","(9e-05, 3.3)",50.0,1.132143
325,"(8.4e-05, 2.156)","(9e-05, 3.3)",60.0,1.110845
326,"(8.4e-05, 2.156)","(9e-05, 3.3)",70.0,1.09
327,"(8.4e-05, 2.156)","(9.1e-05, 3.3)",80.0,1.054595
328,"(8.4e-05, 2.156)","(9.3e-05, 3.3)",90.0,1.020789
329,"(8.4e-05, 2.156)","(9.5e-05, 3.3)",100.0,0.995161
330,"(8.4e-05, 2.156)","(9.8e-05, 3.3)",110.0,0.963868
331,"(8.4e-05, 2.156)","(0.000101, 3.3)",120.0,-0.06
332,"(8.4e-05, 2.156)","(0.000104, 3.3)",130.0,-1.083519
333,"(8.4e-05, 2.156)","(0.000108, 3.3)",140.0,-1.107037
334,"(8.4e-05, 2.156)","(0.000112, 3.3)",150.0,-1.130556
335,"(8.4e-05, 2.156)","(0.000116, 3.3)",160.0,-1.147901
336,"(8.4e-05, 2.156)","(0.000121, 3.3)",170.0,-1.17142
337,"(8.4e-05, 2.156)","(0.000125, 3.3)",180.0,-1.182593
338,"(8.4e-05, 2.156)","(0.00013, 3.3)",190.0,-1.199938
339,"(8.4e-05, 2.156)","(0.000135, 3.3)",200.0,-1.217284
340,"(9.5e-05, 2.156)","(8.7e-05, 3.3)",10.0,1.070949
341,"(9.5e-05, 2.156)","(8.9e-05, 3.3)",20.0,1.115828
342,"(9.5e-05, 2.156)","(9e-05, 3.3)",30.0,1.141463
343,"(9.5e-05, 2.156)","(9e-05, 3.3)",40.0,1.160556
344,"(9.5e-05, 2.156)","(9e-05, 3.3)",50.0,1.163811
345,"(9.5e-05, 2.156)","(9e-05, 3.3)",60.0,1.142414
346,"(9.5e-05, 2.156)","(9e-05, 3.3)",70.0,1.113649
347,"(9.5e-05, 2.156)","(9.1e-05, 3.3)",80.0,1.085828
348,"(9.5e-05, 2.156)","(9.3e-05, 3.3)",90.0,1.058896
349,"(9.5e-05, 2.156)","(9.5e-05, 3.3)",100.0,1.025949
350,"(9.5e-05, 2.156)","(9.8e-05, 3.3)",110.0,0.994383
351,"(9.5e-05, 2.156)","(0.000101, 3.3)",120.0,0.970303
352,"(9.5e-05, 2.156)","(0.000104, 3.3)",130.0,0.946905
353,"(9.5e-05, 2.156)","(0.000108, 3.3)",140.0,-1.075882
354,"(9.5e-05, 2.156)","(0.000112, 3.3)",150.0,-1.098529
355,"(9.5e-05, 2.156)","(0.000116, 3.3)",160.0,-1.115294
356,"(9.5e-05, 2.156)","(0.000121, 3.3)",170.0,-1.132059
357,"(9.5e-05, 2.156)","(0.000125, 3.3)",180.0,-1.148824
358,"(9.5e-05, 2.156)","(0.00013, 3.3)",190.0,-1.165588
359,"(9.5e-05, 2.156)","(0.000135, 3.3)",200.0,-1.182353
